acct_nbr;cust_id;acct_type;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
13628063;1362806;SV  ;Y ;10.12.1995;NULL;1430.22;284.58
4561143213627090;1362709;CC  ;Y ;15.3.1993;NULL;266.34;496.15
4561143213628360;1362836;CC  ;Y ;18.3.1992;NULL;55.90;1000.00
13633112;1363311;CK  ;Y ;6.7.1995;NULL;11017.13;968.46
4561143213633610;1363361;CC  ;Y ;17.6.1994;NULL;849.37;462.28
4561143213631020;1363102;CC  ;Y ;30.11.1995;NULL;0.00;1000.00
4561143213633270;1363327;CC  ;Y ;2.4.1995;NULL;0.00;3000.00
13628972;1362897;CK  ;Y ;1.8.1995;NULL;152.12;52.33
4561143213632370;1363237;CC  ;N ;24.1.1993;30.1.1995;8649.37;0.00
13627202;1362720;CK  ;Y ;14.11.1995;NULL;1074.16;216.74
4561143213632430;1363243;CC  ;Y ;26.6.1991;NULL;1025.87;110.03
13629452;1362945;CK  ;Y ;22.2.1992;NULL;204.67;375.14
13626413;1362641;SV  ;N ;28.11.1988;6.12.1995;139.95;141.92
13633773;1363377;SV  ;Y ;1.7.1994;NULL;610.91;1782.06
4561143213627930;1362793;CC  ;Y ;16.10.1991;NULL;714.43;407.08
13629403;1362940;SV  ;Y ;22.9.1993;NULL;165.68;778.84
4561143213627820;1362782;CC  ;Y ;2.6.1994;NULL;216.82;1136.06
4561143213631650;1363165;CC  ;Y ;10.9.1989;NULL;261.21;429.34
13625912;1362591;CK  ;Y ;23.6.1993;NULL;3390.49;920.44
4561143213632100;1363210;CC  ;Y ;26.1.1995;NULL;0.00;889.68
13628233;1362823;SV  ;Y ;8.6.1992;NULL;428.17;491.88
4561143213633950;1363395;CC  ;N ;26.1.1987;19.5.1995;3072.77;730.00
13631472;1363147;CK  ;Y ;13.12.1993;NULL;205.58;331.93
4561143213629170;1362917;CC  ;Y ;13.12.1995;NULL;0.00;6800.00
13625292;1362529;CK  ;N ;8.9.1994;17.8.1995;771.72;1007.92
4561143213627010;1362701;CC  ;Y ;8.11.1995;NULL;0.00;0.00
4561143213626220;1362622;CC  ;N ;12.4.1992;31.7.1995;2308.50;406.96
13630783;1363078;SV  ;Y ;26.8.1992;NULL;127.81;596.38
13626133;1362613;SV  ;Y ;30.12.1995;NULL;236.65;338.98
13633162;1363316;CK  ;Y ;21.2.1992;NULL;116.05;947.22
13633742;1363374;CK  ;Y ;16.5.1995;NULL;237.33;0.00
4561143213627440;1362744;CC  ;Y ;8.4.1988;NULL;328.50;682.28
13631342;1363134;CK  ;Y ;18.2.1990;NULL;163.08;0.00
13631852;1363185;CK  ;N ;2.8.1994;22.9.1995;2713.04;867.84
13630312;1363031;CK  ;Y ;3.10.1990;NULL;629.03;1938.99
13631803;1363180;SV  ;Y ;26.6.1995;NULL;766.58;405.61
13629592;1362959;CK  ;N ;7.9.1991;29.3.1995;924.76;4601.37
4561143213632800;1363280;CC  ;Y ;10.3.1993;NULL;328.17;1000.00
4561143213624870;1362487;CC  ;Y ;8.8.1995;NULL;0.00;1548.23
13627082;1362708;CK  ;Y ;4.8.1993;NULL;279.44;325.81
13632053;1363205;SV  ;N ;28.1.1994;22.12.1995;119.55;1240.58
13633393;1363339;SV  ;Y ;26.11.1994;NULL;182.39;522.48
13634712;1363471;CK  ;Y ;7.7.1995;NULL;204.13;153.91
13628302;1362830;CK  ;Y ;29.10.1992;NULL;114.07;528.25
13630362;1363036;CK  ;Y ;16.7.1995;NULL;3301.91;41.36
13625873;1362587;SV  ;Y ;31.1.1995;NULL;628.68;1596.17
13632672;1363267;CK  ;Y ;30.4.1992;NULL;1088.96;612.74
13629322;1362932;CK  ;Y ;18.4.1994;NULL;384.55;500.83
4561143213633070;1363307;CC  ;Y ;9.4.1994;NULL;2484.57;1199.30
13629243;1362924;SV  ;Y ;8.3.1994;NULL;5131.67;5287.76
13625842;1362584;CK  ;Y ;1.5.1995;NULL;119.01;12.50
13629792;1362979;CK  ;Y ;5.12.1990;NULL;254.20;292.07
13626172;1362617;CK  ;Y ;30.10.1995;NULL;237.72;53.60
13632222;1363222;CK  ;Y ;16.12.1995;NULL;189.85;839.81
4561143213629850;1362985;CC  ;Y ;6.5.1995;NULL;0.00;1000.00
13628272;1362827;CK  ;Y ;9.5.1994;NULL;2569.45;17.21
4561143213630080;1363008;CC  ;N ;25.8.1988;30.9.1995;1900.34;10.00
13633313;1363331;SV  ;Y ;6.6.1991;NULL;905.15;743.04
4561143213627420;1362742;CC  ;Y ;23.6.1994;NULL;2540.56;15.74
13628903;1362890;SV  ;N ;23.5.1990;18.1.1995;104.78;104.78
13628252;1362825;CK  ;N ;10.11.1992;25.7.1995;2767.55;306.26
13633542;1363354;CK  ;Y ;27.3.1994;NULL;1045.26;48.90
13632863;1363286;SV  ;N ;3.5.1991;25.3.1995;117.92;1289.52
13631353;1363135;SV  ;N ;29.4.1990;19.6.1995;533.67;540.37
13634223;1363422;SV  ;N ;1.12.1993;5.2.1995;423.51;14.34
13634923;1363492;SV  ;Y ;31.12.1991;NULL;952.38;1116.10
13634043;1363404;SV  ;Y ;22.2.1995;NULL;114.29;550.73
13630703;1363070;SV  ;Y ;8.10.1995;NULL;819.37;844.28
13633132;1363313;CK  ;Y ;6.12.1994;NULL;170.09;10.42
13633553;1363355;SV  ;Y ;7.3.1995;NULL;2062.29;2229.96
13625092;1362509;CK  ;Y ;5.11.1994;NULL;182.38;10.7
13629712;1362971;CK  ;Y ;6.9.1995;NULL;3365.88;185.40
13630143;1363014;SV  ;Y ;10.7.1995;NULL;171.98;174.61
13633363;1363336;SV  ;Y ;10.1.1993;NULL;241.37;126.05
4561143213626020;1362602;CC  ;Y ;21.1.1993;NULL;4826.62;1661.44
13627002;1362700;CK  ;Y ;28.5.1995;NULL;2729.91;4494.03
13633522;1363352;CK  ;Y ;11.12.1995;NULL;1290.57;851.45
13631943;1363194;SV  ;N ;25.9.1990;21.4.1995;210.50;455.67
13626373;1362637;SV  ;Y ;11.6.1991;NULL;347.66;44.79
4561143213632940;1363294;CC  ;Y ;26.12.1995;NULL;0.00;3157.90
13626433;1362643;SV  ;N ;27.2.1992;16.9.1995;135.78;494.84
13630913;1363091;SV  ;Y ;5.11.1995;NULL;2303.88;2338.68
13625122;1362512;CK  ;Y ;25.1.1993;NULL;2806.97;1295.93
13632683;1363268;SV  ;Y ;25.6.1989;NULL;498.64;180.08
4561143213627030;1362703;CC  ;Y ;11.8.1991;NULL;1237.86;947.81
4561143213634850;1363485;CC  ;Y ;5.7.1989;NULL;4161.24;1000.00
13631592;1363159;CK  ;Y ;4.1.1995;NULL;346.65;35.80
13625262;1362526;CK  ;Y ;26.6.1995;NULL;2885.72;140.01
13625012;1362501;CK  ;Y ;13.1.1987;NULL;356.40;1.80
13631452;1363145;CK  ;Y ;22.1.1995;NULL;186.89;168.44
4561143213633110;1363311;CC  ;Y ;3.12.1995;NULL;0.00;2700.00
