cust_id;acct_nbr;minimum_balance;per_check_fee;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
1362548;13625482;3000;0.00;Y ;11.11.1986;NULL;6004.34;569.65
1362487;13624872;3000;0.00;Y ;12.1.1995;NULL;2781.07;1401.21
1363017;13630172;3000;0.00;Y ;19.3.1994;NULL;2694.91;147.15
1362752;13627522;100;0.15;Y ;8.1.1994;NULL;487.69;3.76
1363282;13632822;100;0.15;Y ;5.3.1988;NULL;133.90;84.18
1362609;13626092;3000;0.00;N ;14.6.1994;29.9.1995;2563.27;15.38
1363465;13634652;3000;0.00;Y ;29.12.1995;NULL;2605.30;1632.35
1363078;13630782;100;0.15;Y ;12.9.1995;NULL;301.36;167.83
1362588;13625882;200;0.15;Y ;12.9.1992;NULL;230.67;5.87
1362670;13626702;3000;0.00;N ;22.3.1990;25.7.1995;2697.49;106.94
1362853;13628532;3000;0.00;Y ;13.9.1995;NULL;3648.96;1875.77
1363404;13634042;100;0.15;Y ;23.9.1995;NULL;259.35;823.63
1363179;13631792;3000;0.00;Y ;16.6.1994;NULL;2608.77;36.70
1363200;13632002;3000;0.00;Y ;10.4.1992;NULL;2801.98;955.03
1363444;13634442;100;0.15;Y ;23.1.1994;NULL;165.34;68.22
1363261;13632612;3000;0.00;Y ;11.3.1992;NULL;4185.93;1606.69
1363036;13630362;3000;0.00;Y ;16.7.1995;NULL;3301.91;41.36
1362649;13626492;100;0.15;Y ;20.2.1995;NULL;134.68;30.47
1362832;13628322;200;0.15;Y ;11.10.1995;NULL;838.43;49.08
1362975;13629752;100;0.15;N ;10.1.1994;16.3.1995;258.05;282.92
1363301;13633012;3000;0.00;Y ;23.9.1995;NULL;5616.16;285.21
1362771;13627712;100;0.15;Y ;10.5.1993;NULL;162.03;141.86
1363158;13631582;3000;0.00;Y ;4.3.1994;NULL;2659.16;1080.81
1363097;13630972;100;0.15;Y ;7.11.1994;NULL;220.02;26.6
1362546;13625462;3000;0.00;Y ;19.2.1990;NULL;2657.17;84.83
1362485;13624852;100;0.15;Y ;26.9.1995;NULL;209.78;45.49
1363015;13630152;100;0.15;Y ;19.2.1995;NULL;278.52;208.03
1362954;13629542;3000;0.00;Y ;16.12.1995;NULL;5504.29;301.79
1363484;13634842;3000;0.00;Y ;24.3.1995;NULL;2600.97;233.06
1363219;13632192;3000;0.00;Y ;5.3.1989;NULL;4312.10;13.46
1362607;13626072;200;0.15;Y ;29.6.1993;NULL;290.21;165.23
1362811;13628112;3000;0.00;Y ;14.2.1995;NULL;2599.70;278.54
1362586;13625862;100;0.15;Y ;21.10.1995;NULL;167.76;260.70
1363280;13632802;200;0.15;Y ;22.11.1993;NULL;275.60;269.95
1362851;13628512;3000;0.00;Y ;25.8.1994;NULL;7059.92;635.97
1363076;13630762;200;0.15;Y ;3.4.1995;NULL;918.78;67.30
1362912;13629122;100;0.15;Y ;13.3.1994;NULL;174.15;12.70
1362933;13629332;100;0.15;Y ;6.10.1991;NULL;119.13;215.13
1362708;13627082;200;0.15;Y ;4.8.1993;NULL;279.44;325.81
1363402;13634022;3000;0.00;Y ;19.2.1995;NULL;3294.44;9.62
1363442;13634422;100;0.15;Y ;15.6.1990;NULL;787.03;90.63
1362525;13625252;200;0.15;Y ;28.3.1992;NULL;256.46;95.53
1362565;13625652;3000;0.00;Y ;28.5.1995;NULL;5753.09;271.08
1362973;13629732;3000;0.00;Y ;1.2.1995;NULL;2803.50;898.28
1363217;13632172;3000;0.00;N ;13.9.1994;29.12.1995;2658.69;110.53
1362830;13628302;100;0.15;Y ;29.10.1992;NULL;114.07;528.25
