cust_id;acct_nbr;credit_limit;credit_rating;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
1363160;4561143213631600;1000;0;Y ;12.10.1988;NULL;657.46;286.69
1362487;4561143213624870;3000;0;Y ;8.8.1995;NULL;0.00;1548.23
1362548;4561143213625480;6700;0;Y ;11.11.1986;NULL;6965.25;68.68
1362752;4561143213627520;2400;0;N ;9.10.1994;2.4.1995;2302.14;0.00
1363017;4561143213630170;1000;0;Y ;8.2.1995;NULL;0.00;1000.00
1362609;4561143213626090;3000;0;Y ;20.7.1992;NULL;1775.07;3000.00
1363486;4561143213634860;2000;10;Y ;8.12.1995;NULL;0.00;0.00
1363078;4561143213630780;3000;0;Y ;6.4.1991;NULL;2385.21;1147.07
1363282;4561143213632820;1300;0;Y ;12.1.1988;NULL;46.42;272.69
1363200;4561143213632000;1100;3;Y ;1.2.1995;NULL;0.00;254.56
1362588;4561143213625880;1000;0;Y ;10.2.1992;NULL;453.45;1000.00
1363261;4561143213632610;1000;0;Y ;6.9.1992;NULL;143.33;1000.00
1362853;4561143213628530;1300;0;Y ;12.9.1995;NULL;0.00;1073.95
1363057;4561143213630570;1000;0;Y ;8.1.1992;NULL;1010.39;938.43
1363444;4561143213634440;1000;0;Y ;19.3.1995;NULL;0.00;1000.00
1362649;4561143213626490;1000;0;Y ;17.6.1992;NULL;187.17;1000.00
1363036;4561143213630360;1200;0;Y ;6.4.1995;NULL;0.00;1200.00
1363383;4561143213633830;1100;7;Y ;7.7.1992;NULL;1069.93;0.00
1362832;4561143213628320;8500;0;Y ;18.11.1995;NULL;0.00;8500.00
1362506;4561143213625060;11400;0;Y ;13.6.1995;NULL;0.00;4216.53
1363158;4561143213631580;1000;7;Y ;15.9.1991;NULL;364.24;121.67
1362975;4561143213629750;1800;0;Y ;27.1.1989;NULL;556.10;525.50
1362546;4561143213625460;3000;0;Y ;19.2.1990;NULL;2340.61;1292.63
1362771;4561143213627710;1200;0;Y ;12.11.1993;NULL;1127.54;1200.00
1363484;4561143213634840;1000;0;Y ;19.1.1994;NULL;867.01;408.08
1363097;4561143213630970;1100;0;Y ;3.4.1991;NULL;872.15;1100.00
1362607;4561143213626070;3700;0;Y ;23.1.1994;NULL;1957.45;903.36
1362485;4561143213624850;1100;0;Y ;13.4.1992;NULL;282.38;1100.00
1362872;4561143213628720;1000;0;Y ;21.4.1992;NULL;292.41;1000.00
1362954;4561143213629540;6500;0;Y ;11.4.1995;NULL;0.00;1226.12
1362586;4561143213625860;3700;0;Y ;28.1.1992;NULL;1374.28;3700.00
1363219;4561143213632190;1000;0;Y ;3.11.1990;NULL;227.47;1000.00
1362912;4561143213629120;1500;0;Y ;13.11.1992;NULL;1299.01;1500.00
1362811;4561143213628110;1000;0;Y ;3.4.1994;NULL;109.23;1000.00
1362708;4561143213627080;1000;0;Y ;8.1.1992;NULL;275.64;1000.00
1363280;4561143213632800;1000;0;Y ;10.3.1993;NULL;328.17;1000.00
1362565;4561143213625650;1400;0;Y ;27.2.1987;NULL;829.07;1358.19
1363076;4561143213630760;7100;0;Y ;3.9.1993;NULL;6842.20;770.56
1363217;4561143213632170;3000;0;Y ;26.10.1994;NULL;571.04;944.16
1362933;4561143213629330;1000;0;Y ;2.2.1990;NULL;767.27;899.08
1363013;4561143213630130;1000;0;Y ;26.10.1994;NULL;844.10;1000.00
1363402;4561143213634020;1200;0;Y ;15.8.1992;NULL;1119.41;1200.00
1363482;4561143213634820;3000;0;N ;24.7.1989;23.8.1995;2917.91;355.26
1362525;4561143213625250;3000;0;Y ;20.4.1992;NULL;2901.68;1051.01
1362605;4561143213626050;1000;0;Y ;11.1.1991;NULL;705.21;1000.00
1363259;4561143213632590;1000;0;Y ;11.3.1988;NULL;380.61;334.29
1362727;4561143213627270;4100;0;N ;16.5.1994;14.7.1995;3673.82;0.00
1362973;4561143213629730;3000;0;Y ;1.2.1995;NULL;0.00;734.81
1363196;4561143213631960;1800;0;Y ;24.9.1993;NULL;1420.35;1800.00
1362769;4561143213627690;1400;0;Y ;6.5.1995;NULL;0.00;553.09
1363461;4561143213634610;3500;0;Y ;19.9.1993;NULL;1575.67;1610.70
1362830;4561143213628300;1000;0;Y ;14.2.1994;NULL;640.41;88.21
1362584;4561143213625840;1000;0;Y ;13.9.1995;NULL;0.00;1000.00
1362687;4561143213626870;1000;0;Y ;30.4.1995;NULL;0.00;481.97
1363053;4561143213630530;2800;0;Y ;1.3.1995;NULL;0.00;918.09
1362952;4561143213629520;3000;0;Y ;4.6.1994;NULL;3038.80;782.77
1363175;4561143213631750;5000;0;Y ;30.11.1994;NULL;2179.20;1148.45
1363421;4561143213634210;3000;0;Y ;19.9.1988;NULL;2828.16;814.67
1362767;4561143213627670;1000;0;Y ;13.4.1995;NULL;0.00;290.54
1362809;4561143213628090;3800;0;Y ;31.1.1989;NULL;2481.47;0.00
1362563;4561143213625630;1000;0;Y ;7.8.1995;NULL;0.00;1000.00
1363135;4561143213631350;3000;0;Y ;9.3.1990;NULL;3139.52;247.32
1362624;4561143213626240;1400;0;Y ;29.11.1990;NULL;632.75;1400.00
1363400;4561143213634000;7400;9;Y ;21.7.1994;NULL;3293.54;2186.72
1362746;4561143213627460;1000;0;Y ;29.5.1992;NULL;1037.11;1000.00
1363257;4561143213632570;4800;7;Y ;12.2.1995;NULL;0.00;2275.24
1363215;4561143213632150;8700;0;Y ;9.3.1994;NULL;9073.46;2089.45
1362849;4561143213628490;1100;0;Y ;24.5.1994;NULL;1057.28;515.69
1363011;4561143213630110;4500;7;N ;15.3.1990;16.12.1995;3488.29;20.00
1362645;4561143213626450;2900;0;N ;29.9.1994;10.9.1995;2071.70;20.00
1362868;4561143213628680;1000;0;Y ;23.9.1994;NULL;691.83;1000.00
1362971;4561143213629710;1600;0;Y ;9.3.1995;NULL;0.00;1600.00
1362929;4561143213629290;4200;0;Y ;30.6.1995;NULL;0.00;4200.00
1363236;4561143213632360;5800;0;Y ;6.2.1991;NULL;5922.77;1555.34
1362725;4561143213627250;10300;0;Y ;27.2.1995;NULL;0.00;1939.63
1362828;4561143213628280;1000;0;Y ;4.4.1988;NULL;184.35;1000.00
1363194;4561143213631940;3600;0;N ;9.9.1992;24.7.1995;3076.55;82.15
1363297;4561143213632970;1000;0;Y ;15.2.1990;NULL;805.70;67.82
1362643;4561143213626430;3000;0;N ;27.2.1992;28.4.1995;1536.24;559.57
1363093;4561143213630930;1000;0;Y ;30.5.1986;NULL;254.38;1000.00
1363377;4561143213633770;3000;0;Y ;9.11.1994;NULL;332.67;844.08
1362685;4561143213626850;1700;0;Y ;12.5.1995;NULL;0.00;1208.10
1363173;4561143213631730;1400;0;Y ;9.7.1994;NULL;345.94;1400.00
1362950;4561143213629500;3000;3;Y ;10.6.1995;NULL;0.00;162.95
1362765;4561143213627650;1000;0;Y ;27.1.1993;NULL;902.92;999.18
1362542;4561143213625420;2200;0;N ;31.3.1989;25.12.1995;2169.53;20.00
1363234;4561143213632340;3000;0;Y ;20.11.1995;NULL;0.00;3000.00
1362664;4561143213626640;4600;0;Y ;25.6.1995;NULL;0.00;1052.38
1362622;4561143213626220;5200;0;N ;12.4.1992;31.7.1995;2308.50;406.96
1363133;4561143213631330;3000;0;Y ;20.10.1989;NULL;1656.70;0.00
1363356;4561143213633560;1000;0;Y ;11.3.1991;NULL;482.15;1000.00
1363398;4561143213633980;1000;0;Y ;14.1.1995;NULL;0.00;1000.00
1362948;4561143213629480;1400;0;Y ;22.8.1987;NULL;1393.56;813.51
1362990;4561143213629900;3000;0;Y ;3.3.1994;NULL;758.95;1426.93
1362744;4561143213627440;1000;0;Y ;8.4.1988;NULL;328.50;682.28
1363459;4561143213634590;3000;0;Y ;14.10.1995;NULL;0.00;3000.00
1363213;4561143213632130;1900;0;Y ;29.3.1995;NULL;0.00;1046.11
1363316;4561143213633160;1000;0;Y ;11.8.1993;NULL;770.33;1000.00
1363070;4561143213630700;3000;0;Y ;1.7.1994;NULL;390.58;774.22
1363112;4561143213631120;1000;0;Y ;1.4.1991;NULL;852.02;0.00
