cust_id;income;age;years_with_bank;nbr_children;gender;marital_status;name_prefix;first_name;last_name;street_nbr;street_name;postal_code;city_name;state_code
1362691;26150;46;5;1;M ;2;        ;Donald                                                      ;Marek                                                       ;8298;Second                                                      ;89194;Las Vegas                               ;NV  
1362487;6605;71;1;0;M ;2;        ;ChingDyi                                                    ;Moussavi                                                    ;10603;Daffodil                                                    ;90159;Los Angeles                             ;CA  
1363160;18548;38;8;0;F ;1;        ;Rosa                                                        ;Johnston                                                    ;8817;Figueroa                                                    ;90024;Los Angeles                             ;CA  
1362752;47668;54;3;0;F ;1;        ;Lisa                                                        ;Martin                                                      ;676;Humble                                                      ;90172;Los Angeles                             ;CA  
1362548;44554;59;9;2;F ;4;        ;Barbara                                                     ;O'Malley                                                    ;6578;C                                                           ;10138;New York City                           ;NY  
1362813;15684;53;3;2;F ;2;        ;Terry                                                       ;Eubanks                                                     ;6999;Begonia                                                     ;60654;Chicago                                 ;IL  
1363017;0;16;1;0;M ;1;        ;Tim                                                         ;McMillen                                                    ;10274;Mission Gorge                                               ;90095;Los Angeles                             ;CA  
1362609;1929;79;8;0;F ;2;        ;Sandy                                                       ;Rayhanian                                                   ;6168;Camellia                                                    ;96846;Honolulu                                ;HI  
1363486;39942;41;1;5;F ;4;        ;Jill                                                        ;Campbell                                                    ;3830;Tenth                                                       ;96802;Honolulu                                ;HI  
1363078;9622;46;6;1;M ;2;Mr.     ;Christopher                                                 ;McVicker                                                    ;14382;Peach                                                       ;96822;Honolulu                                ;HI  
1363282;25829;29;8;0;F ;1;Ms.     ;Betty                                                       ;Gausman                                                     ;3278;Capital                                                     ;20129;Washington                              ;DC  
1363343;0;15;0;0;M ;1;        ;Robin                                                       ;Shin                                                        ;1168;Cactus                                                      ;77061;Houston                                 ;TX  
1362527;17622;44;1;0;M ;2;        ;Chuck                                                       ;Flynn                                                       ;1735;B                                                           ;94145;San Francisco                           ;CA  
1362670;8877;26;5;0;F ;1;        ;Lynn                                                        ;Wolf                                                        ;18743;First                                                       ;90025;Los Angeles                             ;CA  
1362996;23351;51;1;2;F ;2;Mrs.    ;Robin                                                       ;Johnson                                                     ;5364;Capital                                                     ;19136;Philadelphia                            ;PA  
1362935;0;15;0;0;M ;1;        ;Duncan                                                      ;Paul                                                        ;15329;Spring Center                                               ;97237;Portland                                ;OR  
1363465;10516;41;1;1;M ;4;        ;Harvey                                                      ;Hudson                                                      ;3593;Seventh                                                     ;92510;Riverside                               ;CA  
1363404;0;17;2;0;M ;1;        ;Jacob                                                       ;Matthews                                                    ;17238;Flower                                                      ;43688;Toledo                                  ;OH  
1362588;6354;66;6;0;M ;2;        ;Geneve                                                      ;McGough                                                     ;10631;Park                                                        ;98137;Seattle                                 ;WA  
1363200;21015;18;3;0;M ;1;        ;Owen                                                        ;Maloney                                                     ;18391;J                                                           ;94225;Sacramento                              ;CA  
1362853;26505;50;0;1;F ;2;Ms.     ;Sally                                                       ;Matsumoto                                                   ;15495;Daisy                                                       ;7117;Newark                                  ;NJ  
1362792;3158;80;0;0;M ;2;        ;Eric                                                        ;Parent                                                      ;5250;Cactus                                                      ;10088;New York City                           ;NY  
