cust_id;acct_nbr;minimum_balance;acct_type;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
1363160;13631603;100;BS  ;Y ;9.5.1988;NULL;113.04;122.54
1362487;13624873;500;MM  ;N ;27.6.1994;25.8.1995;651.73;12.89
1362548;13625483;100;BS  ;Y ;11.11.1986;NULL;250.24;254.02
1362752;13627523;100;BS  ;Y ;20.2.1995;NULL;600.26;609.33
1363017;13630173;100;BS  ;N ;27.4.1994;31.10.1995;2011.02;2901.35
1362609;13626093;500;MM  ;Y ;22.6.1995;NULL;758.41;49.39
1363465;13634653;500;MM  ;Y ;27.4.1994;NULL;573.48;590.92
1363078;13630783;100;BS  ;Y ;26.8.1992;NULL;127.81;596.38
1362588;13625883;100;BS  ;Y ;20.10.1990;NULL;252.24;9.71
1363343;13633433;500;MM  ;Y ;14.3.1995;NULL;603.82;2007.65
1362853;13628533;500;MM  ;Y ;10.6.1995;NULL;918.64;1025.23
1363404;13634043;100;BS  ;Y ;22.2.1995;NULL;114.29;550.73
1362567;13625673;100;BS  ;Y ;23.9.1989;NULL;3314.95;5143.26
1363200;13632003;100;BS  ;Y ;24.10.1993;NULL;114.43;1357.19
1363301;13633013;100;BS  ;Y ;23.3.1995;NULL;292.49;417.32
1363261;13632613;500;MM  ;N ;9.3.1989;11.9.1995;676.68;289.89
1362893;13628933;100;BS  ;Y ;3.8.1995;NULL;290.57;976.43
1363057;13630573;100;BS  ;Y ;16.8.1992;NULL;2311.66;1385.03
1363158;13631583;500;MM  ;Y ;6.7.1995;NULL;773.98;1917.72
1362771;13627713;100;BS  ;Y ;2.12.1995;NULL;215.21;2361.62
1362546;13625463;100;BS  ;Y ;19.2.1990;NULL;120.49;991.01
1363097;13630973;100;BS  ;Y ;26.3.1995;NULL;183.44;10.28
1363015;13630153;100;BS  ;Y ;12.11.1995;NULL;380.21;385.97
1363280;13632803;100;BS  ;Y ;25.6.1993;NULL;123.96;1706.87
1362729;13627293;100;BS  ;Y ;21.4.1993;NULL;120.41;122.21
1362668;13626683;100;BS  ;Y ;29.11.1990;NULL;213.91;1470.67
1362708;13627083;500;MM  ;Y ;13.5.1991;NULL;5006.85;3821.12
1362933;13629333;100;BS  ;Y ;3.6.1995;NULL;268.67;17.18
1362565;13625653;100;BS  ;Y ;22.5.1986;NULL;319.68;941.16
1362525;13625253;100;BS  ;Y ;17.10.1990;NULL;284.65;313.46
1362891;13628913;500;MM  ;Y ;2.11.1990;NULL;767.62;1743.57
1362973;13629733;100;BS  ;Y ;1.2.1995;NULL;2273.92;2570.30
1363482;13634823;100;BS  ;Y ;24.7.1989;NULL;121.85;486.40
1363238;13632383;100;BS  ;Y ;11.7.1991;NULL;189.51;192.39
1362605;13626053;500;MM  ;Y ;26.3.1994;NULL;593.88;611.94
1362830;13628303;100;BS  ;Y ;14.1.1992;NULL;237.88;35.68
1363339;13633393;100;BS  ;Y ;26.11.1994;NULL;182.39;522.48
1363095;13630953;100;BS  ;Y ;19.2.1995;NULL;2042.54;868.08
1362727;13627273;100;BS  ;Y ;16.4.1995;NULL;8996.64;9132.52
1362687;13626873;500;MM  ;Y ;14.7.1994;NULL;566.77;1111.42
1362584;13625843;100;BS  ;Y ;1.6.1994;NULL;2032.50;1999.37
1362952;13629523;100;BS  ;N ;26.1.1992;31.3.1995;231.89;232.76
